contractor_id,company_name,specialty,trade_license,cicpa_registration,trn,contact_person,email,phone,address,rating,prequalified,status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
CON-001,Freeman LLC,Facade & Cladding,489244,CICPA-82684,100210154881,Ryan Johnson,ryan.johnson@freemancontracting.ae,+971-56-3091745,"JAFZA, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-002,Caldwell-Yates,Demolition,638289,CICPA-29313,100992329618,Jennifer Pittman,jennifer.pittman@caldwell-yatescontracting.ae,+971-55-2538698,"DIP, UAE",B,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Prequalified
CON-003,Hooper PLC Waterproofing,Waterproofing,155843,CICPA-61964,100639026034,Anthony Long,anthony.long@hoopercontracting.ae,+971-54-4955699,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-004,"Alvarado, Miller and Patterson",Waterproofing,203896,CICPA-95191,100460015275,Michelle White,michelle.white@alvaradocontracting.ae,+971-52-3308538,"Al Quoz, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-005,Gray-Lewis,Fit-Out,895702,CICPA-71487,100581682167,Mark Juarez,mark.juarez@gray-lewiscontracting.ae,+971-56-1088100,"Al Quoz, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-006,Ramirez-Bean,Facade & Cladding,675462,CICPA-89807,100666690337,Robert Conley,robert.conley@ramirez-beancontracting.ae,+971-55-2865405,"JAFZA, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-007,Smith-Ryan,Facade & Cladding,540218,CICPA-93748,100952442674,Zoe Bell,zoe.bell@smith-ryancontracting.ae,+971-56-8669093,"Al Quoz, UAE",A,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Top Rated
CON-008,"Jones, Bernard and Williams Fit-Out",Fit-Out,662093,CICPA-12154,100778556450,Anthony Wright,anthony.wright@jonescontracting.ae,+971-56-5059048,"DIP, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-009,Howell and Sons,HVAC,352249,CICPA-84798,100547286055,David Caldwell,david.caldwell@howellcontracting.ae,+971-52-2436363,"Sharjah Industrial, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
CON-010,"Gould, Marshall and Scott Structural Steel",Structural Steel,631971,CICPA-76535,100695016134,Miguel Obrien,miguel.obrien@gouldcontracting.ae,+971-50-7550726,"Ras Al Khor, UAE",B,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
