employee_id,full_name,department,designation,nationality,joining_date,salary_aed,mmup_license,visa_status,email,phone,status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
EMP-0001,Alexander Le,PMO,Project Coordinator,Philippines,2023-01-21,31191,N/A,Employment Visa,alexander.le@alrashdeng.ae,+971-50-2788238,Active,—,2023-01-21T10:11:00,2023-01-21T10:11:00,system@alrashdeng.ae,1,True,—
EMP-0002,Amanda Adams,PMO,Scheduler,Lebanon,2022-10-02,38944,N/A,Employment Visa,amanda.adams@alrashdeng.ae,+971-56-5180853,Inactive,—,2022-10-02T08:29:00,2022-10-02T08:29:00,system@alrashdeng.ae,1,True,—
EMP-0003,Daniel Graham,PMO,Project Manager,Bangladesh,2021-05-13,55450,N/A,Mission Visa,daniel.graham@alrashdeng.ae,+971-56-6323376,Inactive,—,2021-05-13T14:39:00,2021-05-13T14:39:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0004,Stephanie Liu,PMO,Scheduler,Jordan,2019-12-15,38081,N/A,Mission Visa,stephanie.liu@alrashdeng.ae,+971-55-3670226,Active,—,2019-12-15T14:28:00,2019-12-15T14:28:00,system@alrashdeng.ae,1,True,—
EMP-0005,Vincent White,PMO,Senior Project Manager,Egypt,2024-10-07,41203,N/A,Mission Visa,vincent.white@alrashdeng.ae,+971-55-5013879,Active,—,2024-10-07T08:45:00,2024-10-07T08:45:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0006,Monica Evans,PMO,Senior Project Manager,Egypt,2022-09-27,40367,N/A,Golden Visa,monica.evans@alrashdeng.ae,+971-54-2351868,Active,—,2022-09-27T10:24:00,2022-09-27T10:24:00,system@alrashdeng.ae,1,True,Senior Staff
EMP-0007,Chelsea Hernandez,PMO,Scheduler,Philippines,2023-08-27,15014,N/A,Employment Visa,chelsea.hernandez@alrashdeng.ae,+971-55-7838382,Active,—,2023-08-27T14:26:00,2023-08-27T14:26:00,system@alrashdeng.ae,1,True,—
EMP-0008,Amber Osborne,PMO,Project Director,Jordan,2021-12-07,18555,N/A,Golden Visa,amber.osborne@alrashdeng.ae,+971-56-1327691,Active,—,2021-12-07T16:24:00,2021-12-07T16:24:00,system@alrashdeng.ae,1,True,—
EMP-0009,Aaron Nguyen,PMO,Project Coordinator,UK,2018-02-22,5386,N/A,Golden Visa,aaron.nguyen@alrashdeng.ae,+971-55-8030010,Active,—,2018-02-22T15:51:00,2018-02-22T15:51:00,system@alrashdeng.ae,1,True,—
EMP-0010,Sarah Koch,PMO,Planning Engineer,Lebanon,2024-03-02,19453,MMUP-38760,Golden Visa,sarah.koch@alrashdeng.ae,+971-55-9147720,Active,—,2024-03-02T12:42:00,2024-03-02T12:42:00,system@alrashdeng.ae,1,True,—
EMP-0011,Kyle Brown,PMO,Scheduler,Pakistan,2024-07-05,31497,N/A,Golden Visa,kyle.brown@alrashdeng.ae,+971-52-9961107,Active,—,2024-07-05T13:37:00,2024-07-05T13:37:00,system@alrashdeng.ae,1,True,—
EMP-0012,Stacey Miller,Engineering,Design Engineer,India,2021-08-09,6776,MMUP-94246,Golden Visa,stacey.miller@alrashdeng.ae,+971-52-8746014,Active,—,2021-08-09T11:24:00,2021-08-09T11:24:00,system@alrashdeng.ae,1,True,Engineering
EMP-0013,Chad Hodges,Engineering,Civil Engineer,Lebanon,2023-09-05,18871,MMUP-52840,Golden Visa,chad.hodges@alrashdeng.ae,+971-55-5668371,Active,—,2023-09-05T13:16:00,2023-09-05T13:16:00,system@alrashdeng.ae,1,True,Engineering
EMP-0014,David Alvarez,Engineering,CAD Technician,Lebanon,2022-01-28,10367,N/A,Employment Visa,david.alvarez@alrashdeng.ae,+971-56-1873851,Inactive,—,2022-01-28T12:14:00,2022-01-28T12:14:00,system@alrashdeng.ae,1,True,Engineering
EMP-0015,Joseph Brennan,Engineering,Design Engineer,UAE,2021-02-19,9496,MMUP-14067,Employment Visa,joseph.brennan@alrashdeng.ae,+971-52-1341919,Active,—,2021-02-19T10:08:00,2021-02-19T10:08:00,system@alrashdeng.ae,1,True,Engineering
EMP-0016,Jason Ryan,Engineering,Structural Engineer,Sri Lanka,2023-05-31,12496,MMUP-38569,Golden Visa,jason.ryan@alrashdeng.ae,+971-54-7189034,Active,—,2023-05-31T16:47:00,2023-05-31T16:47:00,system@alrashdeng.ae,1,True,Engineering
EMP-0017,James Collins,Engineering,Design Engineer,Pakistan,2025-05-18,12506,MMUP-50768,Employment Visa,james.collins@alrashdeng.ae,+971-56-1430812,Inactive,—,2025-05-18T16:43:00,2025-05-18T16:43:00,system@alrashdeng.ae,1,True,Engineering
EMP-0018,Debra Kim,Engineering,Structural Engineer,Philippines,2021-11-02,30995,MMUP-19961,Mission Visa,debra.kim@alrashdeng.ae,+971-52-2709620,Active,—,2021-11-02T11:54:00,2021-11-02T11:54:00,system@alrashdeng.ae,1,True,Engineering
EMP-0019,David Walker,Engineering,Design Engineer,India,2020-07-04,44348,MMUP-84177,Employment Visa,david.walker@alrashdeng.ae,+971-54-9937982,Active,—,2020-07-04T12:04:00,2020-07-04T12:04:00,system@alrashdeng.ae,1,True,"Senior Staff,Engineering"
EMP-0020,Brianna Hall,Engineering,MEP Coordinator,UAE,2019-08-20,27362,N/A,Golden Visa,brianna.hall@alrashdeng.ae,+971-55-2770648,Active,—,2019-08-20T12:40:00,2019-08-20T12:40:00,system@alrashdeng.ae,1,True,Engineering
EMP-0021,Chad Welch,Engineering,CAD Technician,Pakistan,2019-09-12,35129,N/A,Golden Visa,chad.welch@alrashdeng.ae,+971-52-9753457,Inactive,—,2019-09-12T11:39:00,2019-09-12T11:39:00,system@alrashdeng.ae,1,True,Engineering
EMP-0022,Rebecca Heath,Engineering,CAD Technician,Lebanon,2018-07-11,40269,N/A,Golden Visa,rebecca.heath@alrashdeng.ae,+971-55-5502929,Active,—,2018-07-11T10:53:00,2018-07-11T10:53:00,system@alrashdeng.ae,1,True,"Senior Staff,Engineering"
EMP-0023,John Caldwell,Engineering,Chief Engineer,Lebanon,2019-08-04,23279,MMUP-41963,Golden Visa,john.caldwell@alrashdeng.ae,+971-56-7358385,Active,—,2019-08-04T14:54:00,2019-08-04T14:54:00,system@alrashdeng.ae,1,True,Engineering
