supplier_id,company_name,category,trade_license,trn,contact_person,email,phone,address,lead_time_days,payment_terms,approved,status,internal_notes,created_at,last_updated_at,created_by,record_version,is_active,tags
SUP-001,Wilson-Young,Finishing Materials,116495,100107099962,Amanda Price,amanda.price@wilson-youngtrading.ae,+971-56-7901115,"Sharjah, UAE",3,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-002,Santiago-Paul,Ready-Mix Concrete,626611,100973120912,Sonya Barnes,sonya.barnes@santiago-paultrading.ae,+971-55-4007598,"Sharjah, UAE",6,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-003,"Barber, Mcclure and Pena",Cement & Aggregates,749887,100665277813,Martha Gilbert,martha.gilbert@barbertrading.ae,+971-54-6946534,"RAK, UAE",28,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-004,Johnson-Wood,MEP Materials,525750,100592845076,Scott Sampson,scott.sampson@johnson-woodtrading.ae,+971-56-5080351,"Ajman, UAE",12,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-005,Garcia-Jennings,Steel Reinforcement,524965,100507231644,Amy Levine,amy.levine@garcia-jenningstrading.ae,+971-55-8986040,"Sharjah, UAE",23,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-006,Brown-Hill,Steel Reinforcement,624139,100565906941,Tammy Rush,tammy.rush@brown-hilltrading.ae,+971-54-2599906,"Abu Dhabi, UAE",4,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-007,Davis-Lewis,Construction Chemicals,598598,100391086098,Danielle Maddox,danielle.maddox@davis-lewistrading.ae,+971-50-2247353,"RAK, UAE",20,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-008,Buchanan and Sons,MEP Materials,116418,100322434334,Vanessa Buchanan,vanessa.buchanan@buchanantrading.ae,+971-56-3419132,"Dubai, UAE",5,Net 45,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-009,Jones PLC,Construction Chemicals,352153,100708485104,Jamie Robinson,jamie.robinson@jonestrading.ae,+971-55-6565503,"Dubai, UAE",27,Net 30,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-010,Murphy and Sons,Safety Equipment,881667,100471363809,Kristina Carlson,kristina.carlson@murphytrading.ae,+971-50-2638895,"Dubai, UAE",10,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-011,Garrison-Thomas,Construction Chemicals,906360,100759132774,David King,david.king@garrison-thomastrading.ae,+971-56-7655572,"RAK, UAE",3,Net 45,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-012,Rodriguez Inc,Finishing Materials,339220,100482049366,David Howard,david.howard@rodrigueztrading.ae,+971-56-7298619,"Dubai, UAE",8,Net 60,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-013,Chapman Inc,Construction Chemicals,409727,100956905222,Grant Williams,grant.williams@chapmantrading.ae,+971-52-2233237,"Sharjah, UAE",11,Net 30,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-014,"Fisher, Wilson and Brown",Structural Steel,875584,100518353415,Shane Cox,shane.cox@fishertrading.ae,+971-54-7051545,"Sharjah, UAE",5,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-015,"Rodriguez, Gordon and Dougherty",Finishing Materials,477400,100917489574,Bradley Logan,bradley.logan@rodrigueztrading.ae,+971-54-2715158,"Ajman, UAE",5,Net 30,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
SUP-016,"Boyd, Ellis and Maynard",Finishing Materials,684041,100695647539,Bruce Mendoza,bruce.mendoza@boydtrading.ae,+971-56-7845845,"Sharjah, UAE",3,Cash,True,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,—
SUP-017,Simmons-Rodriguez,Safety Equipment,197584,100740942859,Jennifer Wallace,jennifer.wallace@simmons-rodrigueztrading.ae,+971-56-6443037,"Dubai, UAE",3,Net 45,False,Active,—,2026-03-03T12:01:34,2026-03-03T12:01:34,system@alrashdeng.ae,1,True,Not Approved
